SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
KGL, BE, 10-Jun-2019, 1.10, 1.10, 1.10, 1.05, 1.10, 1.10, 1.06, 691764, 7.30, 99, -, -
KHADIM, EQ, 10-Jun-2019, 331.40, 331.00, 344.80, 321.10, 324.15, 323.90, 330.28, 4690, 15.49, 528, 2821, 60.15
KHAITANELE, BE, 10-Jun-2019, 2.50, 2.50, 2.50, 2.40, 2.40, 2.40, 2.42, 5043, 0.12, 15, -, -
KHAITANLTD, EQ, 10-Jun-2019, 29.10, 28.60, 29.95, 28.50, 28.95, 28.60, 29.07, 1141, 0.33, 55, 776, 68.01
KICL, EQ, 10-Jun-2019, 1891.60, 1935.00, 1935.00, 1891.60, 1902.00, 1896.40, 1904.67, 160, 3.05, 57, 133, 83.12
KILITCH, EQ, 10-Jun-2019, 171.80, 175.00, 178.20, 170.25, 171.90, 171.85, 173.52, 31230, 54.19, 780, 13805, 44.20
KINGFA, EQ, 10-Jun-2019, 712.25, 720.00, 720.00, 688.10, 688.10, 698.95, 707.41, 3618, 25.59, 215, 2531, 69.96
KIOCL, EQ, 10-Jun-2019, 131.65, 134.00, 135.60, 125.60, 126.00, 127.50, 130.84, 10286, 13.46, 325, 5625, 54.69
KIRIINDUS, EQ, 10-Jun-2019, 510.70, 513.90, 521.80, 505.00, 513.95, 515.40, 509.26, 142925, 727.86, 2937, 63384, 44.35
KIRLOSBROS, EQ, 10-Jun-2019, 177.40, 178.35, 181.50, 172.15, 181.00, 178.85, 176.62, 23122, 40.84, 808, 13801, 59.69
KIRLOSENG, EQ, 10-Jun-2019, 191.60, 194.00, 194.50, 185.15, 190.00, 190.05, 190.60, 34620, 65.99, 886, 19889, 57.45
KIRLOSIND, EQ, 10-Jun-2019, 816.30, 823.95, 922.00, 812.25, 816.00, 815.75, 842.75, 1109, 9.35, 185, 550, 49.59
KITEX, EQ, 10-Jun-2019, 113.50, 111.70, 114.75, 111.25, 111.50, 111.85, 112.14, 42196, 47.32, 530, 25953, 61.51
KKCL, EQ, 10-Jun-2019, 1264.50, 1264.95, 1278.05, 1238.95, 1254.55, 1253.45, 1253.58, 350, 4.39, 76, 209, 59.71
KMSUGAR, EQ, 10-Jun-2019, 7.70, 7.80, 8.35, 7.60, 7.75, 7.80, 7.88, 266143, 20.96, 633, 148272, 55.71
KNRCON, EQ, 10-Jun-2019, 280.65, 286.90, 287.00, 283.00, 286.00, 285.75, 285.74, 384468, 1098.59, 3671, 310942, 80.88
KOHINOOR, EQ, 10-Jun-2019, 26.45, 26.50, 26.85, 25.40, 25.70, 25.65, 25.96, 25469, 6.61, 237, 18935, 74.35
KOKUYOCMLN, EQ, 10-Jun-2019, 82.80, 82.55, 83.00, 81.50, 82.75, 81.90, 82.30, 15464, 12.73, 309, 10144, 65.60
KOLTEPATIL, EQ, 10-Jun-2019, 224.80, 228.00, 228.00, 210.00, 211.95, 211.90, 217.31, 58644, 127.44, 1799, 32240, 54.98
KOPRAN, EQ, 10-Jun-2019, 37.60, 38.45, 38.45, 37.00, 37.10, 37.20, 37.42, 23074, 8.64, 330, 12225, 52.98
KOTAKBANK, EQ, 10-Jun-2019, 1511.80, 1503.30, 1510.90, 1486.60, 1501.80, 1502.60, 1498.37, 1715150, 25699.28, 73935, 646905, 37.72
KOTAKBKETF, EQ, 10-Jun-2019, 317.96, 340.20, 359.30, 316.16, 318.00, 317.23, 318.28, 61163, 194.67, 317, 14659, 23.97
KOTAKGOLD, EQ, 10-Jun-2019, 285.85, 285.00, 286.50, 284.00, 284.00, 284.45, 284.75, 12249, 34.88, 575, 6457, 52.71
KOTAKNIFTY, EQ, 10-Jun-2019, 122.18, 122.96, 123.36, 122.35, 123.05, 123.14, 122.97, 24095, 29.63, 327, 12991, 53.92
KOTAKNV20, EQ, 10-Jun-2019, 58.38, 59.00, 59.60, 58.55, 59.00, 58.97, 59.12, 18573, 10.98, 208, 16125, 86.82
KOTAKPSUBK, EQ, 10-Jun-2019, 308.91, 310.00, 310.90, 302.01, 304.00, 303.81, 307.55, 14660, 45.09, 154, 10982, 74.91
KOTARISUG, EQ, 10-Jun-2019, 10.50, 10.55, 11.15, 10.50, 10.70, 10.70, 10.64, 5213, 0.55, 45, 4433, 85.04
KOTHARIPET, EQ, 10-Jun-2019, 18.40, 18.20, 18.50, 17.70, 18.35, 18.10, 18.01, 6955, 1.25, 82, 5647, 81.19
KOTHARIPRO, EQ, 10-Jun-2019, 83.00, 82.00, 82.70, 77.20, 78.10, 78.15, 79.72, 5702, 4.55, 172, 3968, 69.59
KPITTECH, EQ, 10-Jun-2019, 95.00, 94.20, 95.10, 93.10, 93.55, 94.25, 94.23, 243762, 229.70, 12064, 184284, 75.60
KPRMILL, EQ, 10-Jun-2019, 612.55, 622.95, 630.00, 614.20, 625.00, 627.40, 625.17, 52079, 325.58, 1897, 36609, 70.30
KRBL, EQ, 10-Jun-2019, 331.40, 331.40, 337.65, 331.05, 333.00, 334.60, 334.09, 33647, 112.41, 1146, 16149, 48.00
KREBSBIO, EQ, 10-Jun-2019, 86.00, 83.65, 88.70, 83.65, 88.70, 88.70, 86.04, 1046, 0.90, 6, 146, 13.96
KRIDHANINF, EQ, 10-Jun-2019, 19.80, 18.65, 19.70, 17.85, 17.85, 17.85, 17.98, 81285, 14.62, 386, 62558, 76.96
KRISHANA, SM, 10-Jun-2019, 54.00, 56.00, 57.40, 56.00, 57.40, 57.40, 56.68, 20000, 11.34, 5, 20000, 100.00
KRITIKA, SM, 10-Jun-2019, 34.00, 35.00, 35.00, 35.00, 35.00, 35.00, 35.00, 4000, 1.40, 1, 4000, 100.00
KSB, EQ, 10-Jun-2019, 716.90, 710.20, 719.00, 705.60, 711.20, 712.90, 711.25, 4322, 30.74, 308, 2275, 52.64
KSCL, EQ, 10-Jun-2019, 530.40, 533.70, 559.30, 523.15, 526.00, 525.65, 534.00, 243842, 1302.12, 5951, 37298, 15.30
KSERASERA, EQ, 10-Jun-2019, 0.15, 0.15, 0.15, 0.10, 0.10, 0.15, 0.14, 1468306, 2.00, 161, 703366, 47.90
KSHITIJPOL, SM, 10-Jun-2019, 28.15, 24.00, 30.80, 24.00, 29.60, 29.60, 26.73, 24000, 6.42, 6, 12000, 50.00
KSK, EQ, 10-Jun-2019, 0.85, 0.90, 0.90, 0.80, 0.80, 0.80, 0.85, 887184, 7.50, 255, 548441, 61.82
KSL, EQ, 10-Jun-2019, 220.65, 221.55, 225.00, 219.60, 221.45, 220.85, 221.21, 15699, 34.73, 516, 9125, 58.12
KTIL, EQ, 10-Jun-2019, 49.15, 50.00, 51.70, 48.85, 48.85, 49.20, 49.93, 1166, 0.58, 29, 836, 71.70
KTKBANK, EQ, 10-Jun-2019, 107.00, 107.90, 109.30, 104.80, 107.25, 107.75, 106.90, 2549340, 2725.16, 11473, 614696, 24.11
KWALITY, EQ, 10-Jun-2019, 4.90, 4.75, 4.90, 4.65, 4.70, 4.70, 4.78, 1138964, 54.39, 1581, 737006, 64.71
L&TFH, EQ, 10-Jun-2019, 124.95, 126.00, 127.10, 123.30, 123.45, 124.10, 124.69, 5937938, 7404.12, 33061, 2643795, 44.52
L&TFINANCE, N4, 10-Jun-2019, 1019.52, 1019.00, 1022.90, 1019.00, 1022.90, 1021.95, 1020.94, 525, 5.36, 13, 525, 100.00
L&TFINANCE, N8, 10-Jun-2019, 1015.10, 1029.85, 1029.85, 1029.85, 1029.85, 1029.85, 1029.85, 25, 0.26, 1, 25, 100.00
L&TFINANCE, NC, 10-Jun-2019, 1040.00, 1050.00, 1050.00, 1050.00, 1050.00, 1050.00, 1050.00, 75, 0.79, 1, 75, 100.00
L&TFINANCE, NM, 10-Jun-2019, 1014.00, 1010.00, 1010.00, 1010.00, 1010.00, 1010.00, 1010.00, 10, 0.10, 1, 10, 100.00
L&TFINANCE, NO, 10-Jun-2019, 1016.00, 1030.00, 1030.00, 1022.50, 1022.50, 1025.30, 1027.63, 807, 8.29, 5, 450, 55.76
L&TFINANCE, NU, 10-Jun-2019, 1031.20, 1026.00, 1026.00, 1023.00, 1023.00, 1023.00, 1023.81, 37, 0.38, 2, 37, 100.00
L&TFINANCE, NW, 10-Jun-2019, 1021.50, 1022.00, 1022.00, 1022.00, 1022.00, 1022.00, 1022.00, 30, 0.31, 1, 30, 100.00
L&TINFRA, N1, 10-Jun-2019, 1008.00, 1008.00, 1008.00, 1008.00, 1008.00, 1008.00, 1008.00, 40, 0.40, 3, 40, 100.00
L&TINFRA, N2, 10-Jun-2019, 1828.00, 1816.14, 1828.00, 1816.14, 1828.00, 1828.00, 1827.07, 505, 9.23, 7, 500, 99.01
L&TINFRA, N3, 10-Jun-2019, 996.00, 1000.00, 1000.00, 1000.00, 1000.00, 1000.00, 1000.00, 40, 0.40, 2, 40, 100.00
L&TINFRA, N4, 10-Jun-2019, 1776.00, 1776.00, 1780.10, 1776.00, 1780.05, 1780.05, 1778.51, 285, 5.07, 11, 285, 100.00
L&TINFRA, N6, 10-Jun-2019, 1857.00, 1855.10, 1858.05, 1855.10, 1858.01, 1858.01, 1857.52, 224, 4.16, 13, 224, 100.00
LAGNAM, SM, 10-Jun-2019, 14.50, 14.50, 14.50, 14.50, 14.50, 14.50, 14.50, 6000, 0.87, 2, 6000, 100.00
LAKPRE, BZ, 10-Jun-2019, 9.10, 8.70, 8.70, 8.70, 8.70, 8.70, 8.70, 150, 0.01, 2, -, -
LAKSHMIEFL, BZ, 10-Jun-2019, 2.70, 2.60, 2.60, 2.60, 2.60, 2.60, 2.60, 2765, 0.07, 16, -, -
LAKSHVILAS, EQ, 10-Jun-2019, 73.20, 74.45, 75.65, 72.40, 72.50, 72.75, 73.98, 1143388, 845.86, 4482, 657600, 57.51
LALPATHLAB, EQ, 10-Jun-2019, 1032.00, 1040.30, 1069.70, 1025.50, 1067.00, 1061.65, 1039.38, 85138, 884.90, 6685, 40690, 47.79
LAMBODHARA, EQ, 10-Jun-2019, 45.55, 45.05, 46.00, 43.10, 43.70, 44.05, 44.07, 17761, 7.83, 333, 10529, 59.28
LAOPALA, EQ, 10-Jun-2019, 201.40, 201.40, 201.40, 195.60, 197.50, 196.55, 197.32, 14569, 28.75, 554, 11108, 76.24
LASA, EQ, 10-Jun-2019, 19.50, 19.50, 19.50, 17.55, 17.95, 18.05, 18.15, 60694, 11.01, 323, 41374, 68.17
LATTEYS, SM, 10-Jun-2019, 43.00, 45.25, 45.30, 45.25, 45.30, 45.30, 45.28, 4000, 1.81, 2, 4000, 100.00
LAURUSLABS, EQ, 10-Jun-2019, 353.00, 353.50, 357.35, 346.15, 350.00, 349.65, 349.78, 72289, 252.85, 1268, 68770, 95.13
LAXMIMACH, EQ, 10-Jun-2019, 5384.85, 5384.85, 5460.00, 5352.05, 5399.00, 5386.35, 5387.66, 1373, 73.97, 578, 839, 61.11
LEEL, BE, 10-Jun-2019, 7.75, 7.40, 7.50, 7.40, 7.50, 7.40, 7.40, 102605, 7.60, 274, -, -
LEMONTREE, EQ, 10-Jun-2019, 68.05, 68.10, 69.50, 67.55, 69.45, 69.05, 68.79, 116674, 80.26, 3296, 63886, 54.76
LEXUS, SM, 10-Jun-2019, 20.45, 21.40, 21.40, 19.50, 19.80, 20.55, 20.63, 10000, 2.06, 6, 9000, 90.00
LFIC, EQ, 10-Jun-2019, 65.35, 62.10, 62.15, 62.10, 62.10, 62.10, 62.10, 573, 0.36, 11, 563, 98.25
LGBBROSLTD, EQ, 10-Jun-2019, 361.15, 361.40, 361.40, 349.00, 350.00, 350.65, 354.07, 3424, 12.12, 338, 2513, 73.39
LGBFORGE, BE, 10-Jun-2019, 2.80, 2.80, 2.90, 2.80, 2.90, 2.90, 2.84, 1598, 0.05, 5, -, -
LIBAS, SM, 10-Jun-2019, 52.95, 55.30, 55.55, 55.30, 55.55, 55.55, 55.43, 6000, 3.33, 2, 3000, 50.00
LIBERTSHOE, EQ, 10-Jun-2019, 133.30, 134.00, 135.90, 126.65, 127.80, 127.40, 129.65, 49966, 64.78, 1148, 26253, 52.54
LICHSGFIN, EQ, 10-Jun-2019, 556.30, 557.70, 563.60, 545.60, 550.00, 550.80, 552.53, 908190, 5018.04, 30962, 332696, 36.63
LICNETFGSC, EQ, 10-Jun-2019, 18.88, 18.70, 19.48, 18.70, 19.02, 19.06, 19.34, 1218, 0.24, 19, 1006, 82.59
LICNETFN50, EQ, 10-Jun-2019, 123.65, 124.95, 124.95, 124.05, 124.35, 124.35, 124.39, 28, 0.03, 8, 28, 100.00
LINCOLN, EQ, 10-Jun-2019, 170.60, 171.60, 172.10, 167.90, 167.90, 169.25, 169.81, 8082, 13.72, 364, 4665, 57.72
LINCPEN, BE, 10-Jun-2019, 202.00, 202.00, 208.00, 193.00, 196.05, 197.25, 198.30, 3126, 6.20, 57, -, -
LINDEINDIA, EQ, 10-Jun-2019, 544.00, 550.00, 562.35, 544.90, 554.50, 553.85, 553.10, 30846, 170.61, 2103, 13200, 42.79
LIQUIDBEES, EQ, 10-Jun-2019, 1000.00, 1000.00, 1000.01, 999.99, 1000.01, 1000.00, 1000.00, 980975, 9809.73, 3696, 693334, 70.68
LIQUIDETF, EQ, 10-Jun-2019, 1000.00, 1000.01, 1000.01, 999.99, 1000.01, 1000.00, 1000.00, 10862, 108.62, 85, 8348, 76.86
LOKESHMACH, EQ, 10-Jun-2019, 45.00, 44.60, 46.05, 44.55, 45.00, 45.20, 45.05, 4514, 2.03, 101, 1629, 36.09
LOTUSEYE, EQ, 10-Jun-2019, 19.05, 20.00, 20.00, 18.95, 19.85, 19.85, 19.08, 5651, 1.08, 66, 5230, 92.55
LOVABLE, EQ, 10-Jun-2019, 87.05, 87.00, 89.50, 86.25, 86.30, 86.70, 87.02, 13393, 11.66, 497, 6677, 49.85
LPDC, EQ, 10-Jun-2019, 3.20, 3.30, 3.35, 3.15, 3.25, 3.25, 3.24, 13468, 0.44, 65, 10977, 81.50
LSIL, EQ, 10-Jun-2019, 0.55, 0.60, 0.60, 0.50, 0.50, 0.55, 0.55, 883556, 4.88, 309, 826442, 93.54
LT, EQ, 10-Jun-2019, 1513.85, 1525.00, 1542.00, 1521.30, 1532.70, 1532.10, 1532.33, 1608705, 24650.63, 66888, 768279, 47.76
LTI, EQ, 10-Jun-2019, 1805.15, 1816.00, 1817.25, 1773.05, 1797.95, 1797.40, 1789.69, 149612, 2677.59, 11990, 116822, 78.08
LTMFEOF2R, MF, 10-Jun-2019, 8.25, 8.30, 8.60, 8.30, 8.45, 8.54, 8.40, 7481, 0.63, 5, 4600, 61.49
LTTS, EQ, 10-Jun-2019, 1677.65, 1690.00, 1699.00, 1681.80, 1687.00, 1688.00, 1690.92, 105191, 1778.70, 11138, 60841, 57.84
LUMAXIND, EQ, 10-Jun-2019, 1430.05, 1440.00, 1476.95, 1380.85, 1408.80, 1398.20, 1428.14, 2847, 40.66, 619, 1119, 39.30
LUMAXTECH, EQ, 10-Jun-2019, 124.45, 122.60, 126.00, 122.60, 124.75, 124.40, 124.58, 13049, 16.26, 264, 8673, 66.46
LUPIN, EQ, 10-Jun-2019, 730.20, 730.10, 734.50, 721.80, 725.00, 727.55, 725.97, 1022190, 7420.79, 44941, 350035, 34.24
LUXIND, EQ, 10-Jun-2019, 1315.60, 1325.00, 1325.00, 1285.10, 1304.50, 1300.65, 1302.98, 41813, 544.82, 1185, 1806, 4.32
LYKALABS, BE, 10-Jun-2019, 24.75, 25.45, 25.45, 23.55, 24.45, 24.45, 24.37, 3382, 0.82, 40, -, -
LYPSAGEMS, EQ, 10-Jun-2019, 5.00, 4.90, 5.25, 4.75, 4.75, 4.80, 4.90, 172027, 8.43, 150, 131865, 76.65
M&M, EQ, 10-Jun-2019, 644.05, 643.40, 649.40, 638.20, 647.00, 646.95, 644.23, 2306052, 14856.19, 65270, 889323, 38.56
M&MFIN, EQ, 10-Jun-2019, 414.90, 417.95, 420.80, 409.90, 417.90, 417.60, 414.87, 1904653, 7901.89, 33303, 899352, 47.22
M&MFIN, N2, 10-Jun-2019, 1004.44, 1005.00, 1007.00, 1005.00, 1005.09, 1005.35, 1006.45, 92, 0.93, 11, 92, 100.00
M100, EQ, 10-Jun-2019, 18.51, 18.60, 18.74, 18.50, 18.56, 18.55, 18.56, 63200, 11.73, 104, 35067, 55.49
M17RG, MF, 10-Jun-2019, 6.01, 6.60, 6.60, 6.60, 6.60, 6.60, 6.60, 5000, 0.33, 2, 5000, 100.00
M50, EQ, 10-Jun-2019, 114.97, 116.99, 117.50, 114.54, 116.31, 116.31, 114.65, 2561, 2.94, 18, 2513, 98.13
MAANALU, EQ, 10-Jun-2019, 89.80, 92.50, 92.95, 90.65, 90.65, 91.15, 91.92, 21685, 19.93, 351, 14504, 66.88
MACPOWER, SM, 10-Jun-2019, 127.00, 127.70, 127.70, 120.00, 125.90, 125.90, 124.09, 5000, 6.20, 8, 2500, 50.00
MADHAV, EQ, 10-Jun-2019, 37.75, 37.50, 39.75, 37.20, 39.00, 39.00, 38.66, 3952, 1.53, 41, 3161, 79.98
MADHUCON, EQ, 10-Jun-2019, 7.75, 7.40, 7.85, 7.40, 7.40, 7.40, 7.48, 68707, 5.14, 142, 54583, 79.44
MADRASFERT, EQ, 10-Jun-2019, 26.05, 26.80, 26.95, 25.05, 25.60, 25.50, 25.76, 289360, 74.53, 1225, 152526, 52.71
MAGADSUGAR, EQ, 10-Jun-2019, 183.25, 188.80, 190.95, 175.00, 179.00, 180.10, 182.77, 50305, 91.94, 844, 31096, 61.81
MAGMA, EQ, 10-Jun-2019, 130.95, 130.50, 132.00, 129.00, 132.00, 131.95, 130.62, 417233, 545.00, 2951, 46314, 11.10
MAGNUM, EQ, 10-Jun-2019, 5.00, 5.00, 5.60, 4.40, 5.40, 5.50, 5.00, 26900, 1.35, 130, 16879, 62.75
MAHABANK, EQ, 10-Jun-2019, 15.80, 15.95, 16.15, 15.60, 15.70, 15.65, 15.79, 608703, 96.11, 1060, 267272, 43.91
MAHAPEXLTD, BE, 10-Jun-2019, 105.00, 99.75, 99.75, 99.75, 99.75, 99.75, 99.75, 50, 0.05, 1, -, -
MAHASTEEL, EQ, 10-Jun-2019, 212.00, 212.00, 217.95, 211.35, 212.00, 213.75, 214.38, 61257, 131.32, 480, 35244, 57.53
MAHESHWARI, EQ, 10-Jun-2019, 250.00, 260.00, 270.00, 249.90, 249.90, 250.10, 253.77, 34149, 86.66, 256, 19853, 58.14
MAHINDCIE, EQ, 10-Jun-2019, 243.15, 243.00, 247.75, 240.05, 246.20, 246.85, 244.04, 49071, 119.75, 3260, 30192, 61.53
MAHLIFE, EQ, 10-Jun-2019, 426.30, 426.10, 429.40, 422.85, 425.65, 427.05, 426.47, 9341, 39.84, 450, 6012, 64.36
MAHLOG, EQ, 10-Jun-2019, 491.10, 490.00, 496.05, 485.10, 485.50, 488.50, 491.52, 29895, 146.94, 1351, 22727, 76.02
MAHSCOOTER, EQ, 10-Jun-2019, 4332.00, 4355.00, 4400.00, 4332.50, 4370.00, 4369.10, 4380.63, 4770, 208.96, 1046, 3065, 64.26
MAHSEAMLES, EQ, 10-Jun-2019, 440.05, 439.30, 440.05, 431.00, 433.00, 433.45, 435.01, 30958, 134.67, 1974, 21552, 69.62
MAITHANALL, EQ, 10-Jun-2019, 648.30, 651.80, 652.80, 606.45, 615.00, 609.30, 619.33, 41261, 255.54, 2149, 19127, 46.36
MAJESCO, EQ, 10-Jun-2019, 498.20, 496.00, 503.25, 489.20, 496.15, 494.85, 497.71, 14516, 72.25, 1064, 8525, 58.73
MALUPAPER, EQ, 10-Jun-2019, 24.95, 26.40, 26.40, 24.00, 24.00, 24.00, 24.48, 1514, 0.37, 25, 1024, 67.64
MAN50ETF, EQ, 10-Jun-2019, 119.35, 120.00, 120.00, 119.55, 119.65, 119.59, 119.95, 205, 0.25, 4, 205, 100.00
MANAKALUCO, EQ, 10-Jun-2019, 6.40, 6.40, 6.60, 6.25, 6.40, 6.60, 6.51, 1231, 0.08, 20, 1162, 94.39
MANAKCOAT, EQ, 10-Jun-2019, 5.60, 5.35, 5.65, 5.35, 5.35, 5.35, 5.43, 359, 0.02, 8, 355, 98.89
MANAKSIA, EQ, 10-Jun-2019, 37.50, 39.25, 39.25, 37.20, 37.30, 37.80, 37.48, 299214, 112.14, 940, 288763, 96.51
MANAKSTEEL, EQ, 10-Jun-2019, 18.80, 18.50, 18.75, 17.80, 18.50, 18.20, 18.02, 4580, 0.83, 80, 2618, 57.16
MANALIPETC, EQ, 10-Jun-2019, 24.35, 24.70, 24.70, 24.00, 24.30, 24.20, 24.29, 88091, 21.39, 528, 58572, 66.49
MANAPPURAM, EQ, 10-Jun-2019, 132.10, 133.05, 139.20, 133.05, 137.40, 138.10, 137.27, 8158799, 11199.75, 39295, 1169102, 14.33
MANGALAM, BE, 10-Jun-2019, 41.65, 40.25, 42.75, 39.60, 40.90, 40.90, 40.33, 10868, 4.38, 176, -, -
MANGCHEFER, EQ, 10-Jun-2019, 40.85, 41.45, 42.00, 39.20, 39.45, 39.35, 39.98, 48029, 19.20, 360, 30336, 63.16
MANGLMCEM, EQ, 10-Jun-2019, 260.80, 262.90, 262.90, 251.05, 252.70, 252.65, 254.68, 55966, 142.53, 456, 53444, 95.49
MANGTIMBER, BE, 10-Jun-2019, 12.20, 12.50, 12.70, 11.60, 12.40, 12.40, 11.86, 5014, 0.59, 50, -, -
MANINDS, EQ, 10-Jun-2019, 57.40, 57.60, 57.90, 56.50, 56.75, 56.85, 56.97, 27045, 15.41, 302, 17873, 66.09
MANINFRA, EQ, 10-Jun-2019, 32.75, 32.75, 33.30, 31.30, 31.80, 31.55, 32.03, 61806, 19.80, 790, 38643, 62.52
MANPASAND, EQ, 10-Jun-2019, 42.00, 39.90, 43.20, 39.90, 39.90, 39.90, 40.83, 3096854, 1264.47, 7418, 1677220, 54.16
MANUGRAPH, EQ, 10-Jun-2019, 19.20, 19.35, 19.95, 18.75, 18.75, 18.95, 19.10, 3365, 0.64, 53, 3145, 93.46
MARALOVER, EQ, 10-Jun-2019, 23.10, 23.35, 23.85, 22.05, 22.40, 22.60, 22.62, 7138, 1.61, 60, 6027, 84.44
MARATHON, EQ, 10-Jun-2019, 104.85, 105.60, 108.00, 103.00, 103.90, 103.65, 105.13, 2833, 2.98, 152, 1605, 56.65
MARICO, EQ, 10-Jun-2019, 373.85, 374.95, 379.80, 374.45, 377.50, 377.40, 377.24, 2323261, 8764.23, 40629, 1687538, 72.64
MARINE, SM, 10-Jun-2019, 99.50, 99.00, 99.50, 99.00, 99.50, 99.50, 99.31, 8000, 7.95, 4, 2000, 25.00
MARKSANS, EQ, 10-Jun-2019, 22.90, 22.85, 22.90, 21.80, 21.90, 21.95, 22.19, 604563, 134.15, 2867, 304372, 50.35
MARSHALL, SM, 10-Jun-2019, 22.00, 23.00, 23.00, 22.00, 22.00, 22.00, 22.50, 9000, 2.03, 3, 6000, 66.67
MARUTI, EQ, 10-Jun-2019, 6948.25, 6980.00, 7043.30, 6922.00, 6995.00, 6969.95, 6974.91, 395116, 27558.99, 50060, 98232, 24.86
MASFIN, EQ, 10-Jun-2019, 602.95, 594.10, 605.00, 585.05, 604.00, 600.55, 597.58, 10842, 64.79, 566, 7611, 70.20
MASKINVEST, BE, 10-Jun-2019, 40.75, 42.75, 42.75, 40.95, 41.00, 41.00, 42.45, 1205, 0.51, 19, -, -
MASTEK, EQ, 10-Jun-2019, 478.95, 479.00, 481.45, 471.40, 479.95, 476.35, 477.76, 32303, 154.33, 935, 24394, 75.52
MATRIMONY, EQ, 10-Jun-2019, 642.40, 688.00, 688.00, 632.00, 640.50, 644.15, 646.69, 2818, 18.22, 270, 1342, 47.62
MAWANASUG, EQ, 10-Jun-2019, 50.15, 51.90, 52.40, 49.55, 49.75, 49.75, 50.68, 189478, 96.03, 1111, 90170, 47.59
MAXINDIA, EQ, 10-Jun-2019, 61.30, 62.00, 64.40, 61.50, 64.15, 63.95, 62.96, 168690, 106.21, 1197, 97638, 57.88
MAXVIL, EQ, 10-Jun-2019, 44.30, 44.95, 45.00, 43.05, 43.30, 43.20, 43.75, 15896, 6.95, 245, 11270, 70.90
MAYURUNIQ, EQ, 10-Jun-2019, 293.10, 297.90, 302.00, 293.30, 295.00, 295.95, 297.00, 16386, 48.67, 942, 12999, 79.33
MAZDA, EQ, 10-Jun-2019, 420.20, 418.55, 424.05, 402.20, 402.35, 404.20, 411.82, 2010, 8.28, 119, 1359, 67.61
MBAPL, SM, 10-Jun-2019, 51.00, 51.80, 51.90, 41.10, 50.10, 50.10, 50.31, 24000, 12.08, 5, 15000, 62.50
MBECL, BE, 10-Jun-2019, 4.25, 4.25, 4.45, 4.15, 4.40, 4.40, 4.28, 9135, 0.39, 24, -, -
MBLINFRA, EQ, 10-Jun-2019, 9.60, 9.50, 9.70, 8.65, 8.65, 8.65, 8.79, 82062, 7.21, 230, 62367, 76.00
MCDHOLDING, EQ, 10-Jun-2019, 22.25, 23.35, 23.35, 21.50, 22.25, 22.10, 22.00, 7744, 1.70, 97, 5263, 67.96
MCDOWELL-N, EQ, 10-Jun-2019, 551.30, 553.10, 566.90, 551.00, 564.40, 563.65, 561.49, 2199870, 12351.95, 51893, 957598, 43.53
MCL, SM, 10-Jun-2019, 183.90, 184.00, 192.00, 184.00, 192.00, 192.00, 188.00, 12000, 22.56, 5, 12000, 100.00
MCLEODRUSS, EQ, 10-Jun-2019, 30.75, 30.55, 31.85, 27.70, 27.70, 27.70, 28.33, 410983, 116.45, 2154, 324616, 78.99
MCX, EQ, 10-Jun-2019, 803.50, 808.80, 813.95, 798.25, 803.90, 804.45, 805.71, 170185, 1371.19, 7596, 49095, 28.85
MEGASOFT, EQ, 10-Jun-2019, 7.40, 7.40, 7.60, 6.95, 7.60, 7.30, 7.34, 8803, 0.65, 42, 8708, 98.92
MEGH, EQ, 10-Jun-2019, 66.30, 66.80, 68.70, 66.10, 66.80, 66.95, 67.44, 752832, 507.75, 6255, 375093, 49.82
MENONBE, EQ, 10-Jun-2019, 75.60, 78.20, 78.20, 75.05, 75.50, 75.55, 76.05, 4441, 3.38, 189, 2961, 66.67
MEP, EQ, 10-Jun-2019, 37.60, 37.60, 38.00, 36.50, 36.55, 36.70, 37.08, 52124, 19.33, 516, 18298, 35.10
MERCATOR, EQ, 10-Jun-2019, 2.15, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 93034, 1.91, 99, 93034, 100.00
MERCK, EQ, 10-Jun-2019, 4001.55, 4024.55, 4049.90, 3965.00, 3982.65, 3994.30, 4009.32, 16940, 679.18, 3064, 6857, 40.48
METALFORGE, EQ, 10-Jun-2019, 7.05, 6.75, 7.30, 6.40, 6.50, 6.45, 6.62, 18861, 1.25, 123, 17483, 92.69
METKORE, BE, 10-Jun-2019, 0.55, 0.60, 0.60, 0.50, 0.50, 0.50, 0.54, 3479, 0.02, 17, -, -
METROPOLIS, EQ, 10-Jun-2019, 963.15, 962.00, 965.00, 927.40, 965.00, 962.45, 956.22, 15510, 148.31, 1393, 5238, 33.77
MFSL, EQ, 10-Jun-2019, 432.00, 433.95, 443.30, 432.00, 436.50, 438.25, 435.91, 434544, 1894.21, 7537, 268272, 61.74
MGL, EQ, 10-Jun-2019, 850.85, 855.00, 890.50, 851.75, 889.20, 886.80, 875.66, 459314, 4022.03, 23360, 138985, 30.26
MHRIL, EQ, 10-Jun-2019, 223.95, 224.70, 228.50, 220.10, 228.40, 226.15, 223.51, 24126, 53.93, 598, 19891, 82.45
