SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
GRSE, EQ, 10-Jun-2019, 117.80, 118.25, 119.50, 117.10, 119.00, 118.60, 118.90, 302756, 359.99, 1821, 259474, 85.70
GRUH, EQ, 10-Jun-2019, 305.50, 309.00, 311.30, 299.30, 300.25, 300.95, 305.07, 505722, 1542.80, 11148, 329851, 65.22
GSCLCEMENT, EQ, 10-Jun-2019, 20.80, 20.65, 21.20, 20.50, 20.75, 20.75, 20.74, 8158, 1.69, 45, 6300, 77.22
GSFC, EQ, 10-Jun-2019, 103.90, 105.25, 105.30, 101.05, 101.20, 101.45, 102.52, 870524, 892.49, 5332, 209241, 24.04
GSKCONS, EQ, 10-Jun-2019, 7704.65, 7720.10, 7824.00, 7705.55, 7710.40, 7745.65, 7755.61, 17755, 1377.01, 4712, 8084, 45.53
GSPL, EQ, 10-Jun-2019, 185.70, 185.45, 189.40, 185.00, 186.20, 186.45, 186.67, 834083, 1557.02, 9094, 746003, 89.44
GSS, EQ, 10-Jun-2019, 133.10, 134.20, 135.00, 121.25, 124.55, 124.80, 126.91, 210128, 266.67, 3808, 88175, 41.96
GTL, EQ, 10-Jun-2019, 3.55, 3.50, 3.85, 3.50, 3.65, 3.55, 3.66, 28512, 1.04, 85, 20701, 72.60
GTLINFRA, BE, 10-Jun-2019, 0.80, 0.85, 0.85, 0.75, 0.80, 0.80, 0.80, 524755, 4.19, 218, -, -
GTNIND, EQ, 10-Jun-2019, 9.30, 9.15, 9.20, 8.50, 8.95, 8.95, 8.76, 3437, 0.30, 31, 2270, 66.05
GTPL, EQ, 10-Jun-2019, 66.15, 66.15, 67.90, 66.10, 67.90, 66.95, 66.72, 2750, 1.83, 43, 1971, 71.67
GUFICBIO, EQ, 10-Jun-2019, 75.60, 76.75, 77.55, 75.50, 75.75, 75.60, 76.67, 17323, 13.28, 266, 8601, 49.65
GUJALKALI, EQ, 10-Jun-2019, 543.95, 545.20, 554.35, 540.20, 541.25, 542.80, 546.22, 28649, 156.49, 2341, 14712, 51.35
GUJAPOLLO, EQ, 10-Jun-2019, 137.05, 136.50, 141.05, 134.50, 135.20, 136.55, 137.59, 1401, 1.93, 157, 314, 22.41
GUJFLUORO, EQ, 10-Jun-2019, 1110.40, 1111.20, 1132.20, 1101.00, 1113.05, 1117.95, 1117.20, 48522, 542.09, 3778, 18488, 38.10
GUJGASLTD, EQ, 10-Jun-2019, 182.50, 183.00, 187.70, 178.05, 184.60, 185.70, 183.97, 396163, 728.81, 8253, 206566, 52.14
GUJRAFFIA, BE, 10-Jun-2019, 15.30, 15.30, 15.30, 15.30, 15.30, 15.30, 15.30, 7, 0.00, 4, -, -
GULFOILLUB, EQ, 10-Jun-2019, 904.90, 905.85, 909.95, 896.20, 899.80, 900.00, 900.02, 204329, 1839.01, 371, 203098, 99.40
GULFPETRO, EQ, 10-Jun-2019, 58.00, 58.00, 58.45, 55.00, 55.90, 55.30, 56.17, 24212, 13.60, 508, 18969, 78.35
GULPOLY, EQ, 10-Jun-2019, 49.30, 49.00, 49.55, 47.90, 48.15, 48.15, 48.74, 21685, 10.57, 122, 14350, 66.17
GVKPIL, EQ, 10-Jun-2019, 6.75, 6.80, 6.85, 6.40, 6.50, 6.45, 6.59, 1512292, 99.66, 2959, 908089, 60.05
H1190M36RG, MF, 10-Jun-2019, 12.07, 11.95, 12.00, 11.95, 12.00, 12.00, 11.96, 600, 0.07, 2, 500, 83.33
HAL, EQ, 10-Jun-2019, 713.65, 715.10, 719.05, 693.15, 698.00, 701.15, 703.86, 7535, 53.04, 908, 4632, 61.47
HARITASEAT, EQ, 10-Jun-2019, 440.25, 444.45, 464.80, 431.20, 432.10, 433.75, 442.23, 2220, 9.82, 146, 1450, 65.32
HARRMALAYA, EQ, 10-Jun-2019, 64.85, 65.35, 66.20, 62.45, 64.00, 64.00, 64.14, 10122, 6.49, 329, 6982, 68.98
HATHWAY, EQ, 10-Jun-2019, 24.75, 24.60, 25.00, 24.05, 24.40, 24.40, 24.55, 54951, 13.49, 420, 25531, 46.46
HATSUN, EQ, 10-Jun-2019, 719.80, 705.00, 721.00, 705.00, 715.00, 714.50, 713.39, 1934, 13.80, 177, 1583, 81.85
HAVELLS, EQ, 10-Jun-2019, 788.65, 789.55, 797.40, 787.70, 792.00, 792.05, 792.60, 1193650, 9460.86, 36470, 216928, 18.17
HAVISHA, BE, 10-Jun-2019, 0.80, 0.80, 0.85, 0.75, 0.85, 0.85, 0.75, 5069, 0.04, 4, -, -
HBLPOWER, EQ, 10-Jun-2019, 24.80, 25.75, 25.75, 24.25, 24.45, 24.45, 24.52, 99228, 24.34, 557, 60192, 60.66
HBSL, EQ, 10-Jun-2019, 8.40, 7.70, 9.20, 7.70, 7.90, 7.90, 8.26, 402, 0.03, 12, 387, 96.27
HCC, EQ, 10-Jun-2019, 13.15, 13.05, 13.25, 12.80, 12.90, 12.85, 12.88, 994432, 128.12, 1939, 586460, 58.97
HCG, EQ, 10-Jun-2019, 188.50, 185.30, 192.90, 184.70, 185.10, 185.10, 186.28, 11142, 20.76, 108, 9828, 88.21
HCL-INSYS, EQ, 10-Jun-2019, 14.45, 14.45, 15.25, 13.40, 14.50, 14.25, 14.17, 578466, 81.97, 2072, 179879, 31.10
HCLTECH, EQ, 10-Jun-2019, 1079.60, 1086.90, 1101.80, 1081.40, 1095.00, 1091.20, 1092.93, 1028004, 11235.41, 57669, 600114, 58.38
HDFC, EQ, 10-Jun-2019, 2210.85, 2215.25, 2224.80, 2175.45, 2192.00, 2194.05, 2193.98, 2484187, 54502.66, 139805, 1493083, 60.10
HDFCAMC, EQ, 10-Jun-2019, 1819.05, 1836.80, 1836.80, 1813.00, 1823.00, 1830.10, 1828.07, 63927, 1168.63, 5865, 37152, 58.12
HDFCBANK, EQ, 10-Jun-2019, 2447.65, 2469.95, 2469.95, 2432.10, 2442.60, 2440.20, 2444.94, 1769285, 43257.94, 111556, 846619, 47.85
HDFCLIFE, EQ, 10-Jun-2019, 451.40, 453.00, 454.00, 442.25, 450.65, 450.15, 448.50, 1453151, 6517.35, 53730, 788903, 54.29
HDFCMFGETF, EQ, 10-Jun-2019, 2962.70, 2964.00, 2964.00, 2945.10, 2952.00, 2951.85, 2954.95, 915, 27.04, 269, 532, 58.14
HDFCNIFETF, EQ, 10-Jun-2019, 1240.02, 1247.97, 1249.00, 1240.00, 1247.34, 1246.46, 1243.97, 941, 11.71, 63, 715, 75.98
HDFCSENETF, EQ, 10-Jun-2019, 4140.00, 4174.90, 4174.90, 4149.81, 4155.00, 4155.00, 4152.89, 69, 2.87, 11, 61, 88.41
HDIL, EQ, 10-Jun-2019, 20.05, 20.15, 20.15, 19.10, 19.60, 19.50, 19.58, 1561597, 305.73, 4895, 647827, 41.48
HEG, EQ, 10-Jun-2019, 1612.70, 1622.00, 1629.95, 1584.20, 1593.50, 1592.00, 1600.56, 138758, 2220.90, 11682, 38271, 27.58
HEIDELBERG, EQ, 10-Jun-2019, 208.20, 210.90, 212.85, 207.50, 209.85, 209.30, 210.18, 162460, 341.46, 5525, 86532, 53.26
HEOF1126RG, MF, 10-Jun-2019, 9.90, 10.04, 10.04, 10.00, 10.04, 10.03, 10.03, 27500, 2.76, 10, 24500, 89.09
HERCULES, EQ, 10-Jun-2019, 104.90, 105.95, 106.00, 101.65, 104.80, 103.35, 103.13, 7935, 8.18, 191, 5912, 74.51
HERITGFOOD, EQ, 10-Jun-2019, 420.50, 423.75, 423.75, 414.40, 417.00, 418.75, 417.35, 62989, 262.88, 1090, 53569, 85.05
